University,Graduation Year,Supervisor 1 Name,Supervisor 2 Name,Project Domain,Project Title,Project Summary,Number of Peers,Sponsored by Company,Company Name,Company Mentor Name,Thesis Document
Cairo,2023,Dr. Hassan Mostafa,NA,Digital,Master Information Block Decoding for 5G NR technology,"The PBCH Decoding processor is a purely digital processor that is customized to decode the PBCH channel within the NR modem. Form the overall system perspective and the microprocessor point-of-view, this processor is employed as a HW accelerator that receives a command from the microprocessor through its register interface. The command is mainly to decode the PBCH channel. However, this command should be associated with various system parameters (such as the cell ID, the time stamp, etc.) that enables the PBCH Decoding processor to decode the PBCH. In return, the PBCH Decoding processor would inform the microprocessor that the processing is complete through an interrupt system and/or a register polling mechanism. The PBCH Decoding processor would save the results in some internal registers that are accessible through the register interface. The results are mainly the MIB payload if the PBCH is decoded successfully, and an indicator whether the PBCH is decoded successfully or not.",11,Yes,STMicroelectronics,"Dr. Abdelmohsen ALI
Eng. Ahmed Waheed
Eng. Sherif Hosny",https://drive.google.com/open?id=1UFdhYa5Kcl2YwqpUthaTDVhQpmaZF4Tw
Faculty of engineering,2025,Dr. Mohammed Abbas,Dr. Khalil Ismail Yousef,Digital,FPGA-Based Hardware Acceleration of Poseidon2 with RISC-V ISA Customization,"The objective of this project is to design and implement an accelerated Poseidon2 hash function integrated with RISC-V through custom ISA extensions on an FPGA. The goal is to significantly enhance the performance of Poseidon2, which is critical in many cryptographic protocols and proof-generation processes.",8,Yes,Silicon Arts,Dr. Hossam Hassan,https://drive.google.com/file/d/1x2v6bbM8I_4U42sY-kH-jD0t_EvmQHra/view
Ain Shams,2025,Dr. Angie Eldamak,Dr. Dalia Nashat,Microwave and antennas,Microwave sensor for bone imaging,The project focused on designing a microwave sensor that can detect any variations in the bones like a crack or fracture then the s-parameters is then processed using a Matlab model to reconstruct an image,3,No,NA,NA,https://drive.google.com/file/d/1aw4G2p-e3eSy_09xCWCMOqWGra8uoOGQ/view
Ain Shams,2024,Dr. Hani Fikry,NA,Digital,Design and Implementation of RISCV Architecture,"The project aimed to design a RISC-V based processor from scratch that's capable of running Linux OS then implement it on an FPGA. The project included designing RV64IMAC architecture, in addition supporting M&S privilege levels, also designing L1 instruction and data caches. An extra work that was not required, extending the processor with UART and other peripherals.",6,Yes,Si-Vision,Eng. Muhammed Nagi,https://drive.google.com/open?id=1fzkiUYl0uPOyB_LosQU2ZPlWIQuGvvoA
Fayoum,2023,Dr. Mohamed Hamdy Merzban,NA,Digital,Design and Implementation of RISC-V Microprocessor,"RTL Design of 5-stage RISC-V Core with IMF Extensions with specs/diagrams/architecture of our choice, self tested with Verilog TBs before and after multiple integration stages, Implementation using FPGA Flow with Xilinix ZedBoard with multiple programs for checking functionality while generating PPA Reports",4,No,NA,NA,https://drive.google.com/open?id=1vA2swibFLiPdqtJFFVthq66nWNo9wBkL
Cario,2025,Dr. Hossam Fahmy,Dr. Rania Osama,Digital,PCIe Gen 6.0 Controller over UCIe 2.0 Adapter,"PCIe (Peripheral Component Interconnect Express) is a high-speed serial computer expansion bus standard designed to replace older standards like PCI and PCI-X. PCIe offers significantly faster data transfer rates, improved scalability, and greater efficiency by using point-to-point architecture instead of shared parallel bus. It is widely used in modern computers for connecting graphics cards, network cards, and other high-performance hardware components.
PCIe Layering are described as follows, Transaction Layer, Data Link Layer and Physical Layer which can be divided into two sections: one that processes outbound (to be transmitted) information and one that processes inbound (received) information.
PCIe uses packets to communicate information between components. Packets are formed in the Transaction and Data Link Layers to carry the information from the transmitting component to the receiving component. As the transmitted packets flow through the other layers, they are extended with additional information necessary to handle packets at those layers. At the receiving side the reverse process occurs and packets get transformed from their Physical Layer representation to the Data Link Layer representation and finally (for Transaction Layer Packets) to the form that can be processed by the Transaction Layer of the receiving device.
The project scope is to implement the main data-path for PCIe 6.0 controller layers that are interfacing with UCIe 2.0 Adapter (Transaction Layer & Data link Layer).",5,Yes,Si-Vision,Eng. Heba Magdy,https://drive.google.com/open?id=1yROBJJw3XnE_Ecm8KfF02MBvp54EDDWV
Ain Shams,2025,Dr. Hani Fikry,NA,Digital,Design and Verification of Encryption Accelerator For Wireless Transceiver SoC,"The objective was to design a lightweight AES encryption accelerator optimized for low area and low power consumption. To achieve this, we conducted an extensive review of relevant research papers to identify a suitable architecture. After selecting the most appropriate design, we studied the AMBA AHB protocol in order to integrate the AES module as a slave peripheral with a Cortex-M0 microprocessor.",6,Yes,STMicroelectronics,Eng. Sherif Hosny,https://drive.google.com/open?id=1R6KRq9w9TB528BqNNCZ8tdhPoGZghh9m
Ain Shams,2024,Dr. Diaa Eldin Khalil,Dr. Abdel Mohsen Ali,Digital,5G NR Physical Uplink Shared Channel (PUSCH Tx Rel. 17),"Developing a floating-point MATLAB model for the PUSCH chain.
Performing fixed-point analysis by achieving the required SQNR.
Preparing hardware architecture then RTL coding for each block.
Integration and verification of the system versus MATLAB.
Performing block and system level synthesis using Synopsis DC.",5,Yes,STMicroelectronics,Eng. Ahmed Waheed,https://drive.google.com/open?id=1JRjSkrKOrXIyBH4_W036QhYQn9ghPuI3
Suez Canal,2024,Dr.Zakaria,Dr. Sara,1U CubeSat,1U CubeSat,"CubeSat is a type of microsatellites which has a specific missions, our project mission was taking photos for specific places and areas in Egypt.",14,No,"We applied for sponsorship in Egyptian Space Agency, and IDITA but the deal didn't go through.",NA,https://drive.google.com/open?id=1zeciRa5Epfl5-1GbeTSCoTQ4gHR1IotK
Faculty of engineering,2025,Dr. Mohamed Abd elghany,NA,Digital,Digital frontend of Beamspace Local LMMSE for mmWave Massive MIMO in 5G,"This project aims to design a Beam-Space Local LMMSE system that balances the high performance of traditional LMMSE receivers with reduced computational complexity, making it suitable for next-generation wireless systems. By operating in the beamspace domain and using local processing, the architecture lowers the dimensionality of operations—significantly reducing computational load and power consumption—while maintaining accuracy and real-time performance. Key components like FFT, matrix multiplication, and inversion are optimized for speed and efficiency, especially in large antenna arrays. The design targets scalability and energy efficiency, aligning with the needs of future high-capacity, low-power communication networks.",5,No,NA,NA,https://drive.google.com/open?id=10cW_CxgkcS_W8ONFtLZ8KeeTm4JX9usz
